Country,Country code,Survey year,Prevalence (%),Substance,Recall period,Age,Sample size,Males (%),Females (%)
Denmark,DK,2023,11.5,Cocaine,Lifetime,Young adults (15-34),1872.0,16.1,6.9
Netherlands,NL,2022,10.9,Cocaine,Lifetime,Young adults (15-34),2157.0,14.5,7.1
Spain,ES,2022,10.7,Cocaine,Lifetime,Young adults (15-34),11495.0,14.7,6.5
Ireland,IE,2019,10.6,Cocaine,Lifetime,Young adults (15-34),,,
Norway,NO,2022,10.1,Cocaine,Lifetime,Young adults (15-34),844.0,13.6,6.5
Estonia,EE,2018,8.6,Cocaine,Lifetime,Young adults (15-34),757.0,10.4,7.3
Finland,FI,2022,8.1,Cocaine,Lifetime,Young adults (15-34),1814.0,10.6,5.2
France,FR,2017,7.9,Cocaine,Lifetime,Young adults (15-34),5994.0,10.6,5.3
Croatia,HR,2019,7.5,Cocaine,Lifetime,Young adults (15-34),1967.0,10.4,4.4
Germany,DE,2021,6.9,Cocaine,Lifetime,Young adults (15-34),4103.0,8.4,5.4
Austria,AT,2022,6.9,Cocaine,Lifetime,Young adults (15-34),1792.0,7.4,6.4
Italy,IT,2022,5.2,Cocaine,Lifetime,Young adults (15-34),1295.0,7.6,2.6
Slovenia,SI,2018,4.5,Cocaine,Lifetime,Young adults (15-34),3054.0,5.7,3.3
Czechia,CZ,2020,4.5,Cocaine,Lifetime,Young adults (15-34),927.0,6.5,2.4
Latvia,LV,2020,4.2,Cocaine,Lifetime,Young adults (15-34),1627.0,5.4,2.9
Slovakia,SK,2023,3.7,Cocaine,Lifetime,Young adults (15-34),,4.9,2.3
Bulgaria,BG,2020,3.7,Cocaine,Lifetime,Young adults (15-34),1401.0,3.6,3.9
Cyprus,CY,2022,3.4,Cocaine,Lifetime,Young adults (15-34),1540.0,4.7,2.1
Lithuania,LT,2021,2.9,Cocaine,Lifetime,Young adults (15-34),902.0,4.0,1.6
Luxembourg,LU,2019,2.7,Cocaine,Lifetime,Young adults (15-34),1052.0,3.0,2.4
Hungary,HU,2019,2.6,Cocaine,Lifetime,Young adults (15-34),442.0,3.5,1.5
Romania,RO,2019,2.4,Cocaine,Lifetime,Young adults (15-34),3549.0,3.4,1.3
Greece,GR,2015,1.3,Cocaine,Lifetime,Young adults (15-34),464.0,1.2,1.4
Portugal,PT,2022,1.2,Cocaine,Lifetime,Young adults (15-34),2550.0,1.9,0.5
Poland,PL,2018,1.2,Cocaine,Lifetime,Young adults (15-34),1118.0,1.4,0.9
Türkiye,TR,2017,0.3,Cocaine,Lifetime,Young adults (15-34),,0.5,0.0
